property_id,image,address_suburb,address_street,bedrooms,bathrooms,garage,price,date_created
CSS10132453,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/12620-02.jpg,EDMONTON,"23 Lode Street",3,1,2,"Offers Over $340,000",2016-09-01-07:44
CSS7288814,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1415199574-31768-Photo-30-3669922006-O.jpg,MOOROOBOOL,"1 Oceanview Place",4,3,3,"$785,000 Neg",2016-09-06-12:01
CSS10011276,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/28778-10.jpg,GORDONVALE,"8 Murphy Street",3,2,4,"$349,000",2016-09-22-07:18
CSS10000769,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/17072-01.jpg,EDMONTON,"11 Noble Close",4,2,2,"Offers over $360,000",2016-09-29-07:33
CSS9807684,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/18599-01.jpg,"MOUNT SHERIDAN","3 Mabel Street",3,2,2,"$339,000",2016-09-29-14:24
CSS10025042,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/27639-Photo-6-2351782052-O.jpg,WESTCOURT,,2,1,1,"$118,000 Negotiable",2016-10-04-09:20
CSS10075735,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/26343-01.jpg,"WHITE ROCK","29 Hollywood Boulevard",3,1,1,Auction,2016-10-11-13:06
CSS9740636,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/23073-02.jpg,"BENTLEY PARK","204 Timberlea Drive",4,2,2,"Buyers in the Low $300's Range",2016-10-18-10:21
CSS9539881,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/27298-06.jpg,"BAYVIEW HEIGHTS","6 Comet Street",4,2,2,"Mid $400,000 Range",2016-10-27-12:04
CSS10317017,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/3281-04.jpg,EARLVILLE,"57 Yarrum Street",2,1,1,Auction,2016-10-27-11:53
CSS9540968,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1450842930-5301-03.jpg,"BAYVIEW HEIGHTS","20 Wirrah Street",4,2,2,"Offers Over $370,000",2016-11-11-08:44
CSS9540872,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1441344346-1280-1a.jpg,"BENTLEY PARK",,3,1,1,"Offers Over $340,000",2016-11-24-08:08
CSS9811581,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/14043-04.jpg,EDMONTON,"23 Noble Close",4,2,1,"$329,000 Negotiable",2016-11-24-08:13
